forlag_id;Original tittel;Internasjonal tittel;ISBN-prefiks;Land;Nivå 2023;Nivå 2022;Nivå 2021;Nivå 2020;Nivå 2019;Nivå 2018;Nivå 2017;Nivå 2016;Nivå 2015;Nivå 2014;Nivå 2013;Nivå 2012;Nivå 2011;Nivå 2010;Nivå 2009;Nivå 2008;Nivå 2007;Nivå 2006;Nivå 2005;Nivå 2004;URL;Sist oppdatert
"23221";"010 Publishers";"010 Publishers";"";"Nederland";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"http://www.010publishers.nl/index_ie.htm";"2022-08-04 14:46:30"
"25579";"07 Gruppen";"07 Gruppen";"";"Norge";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"http://www.07.no";"2022-08-04 14:46:30"
"19633";"1956-os Intézet";"1956-os Intézet";"";"Ungarn";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"0";"";"http://www.rev.hu/";"2022-08-04 14:46:30"
"22495";"7Letras";"7Letras";"";"Brasil";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"http://www.7letras.com.br/";"2022-08-04 14:46:30"
"24653";"A&C Black Publishers Ltd.";"A&C Black Publishers Ltd.";"";"Storbritannia";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"http://www.acblack.com/";"2022-08-04 14:46:30"
"26598";"ABA Publishing";"ABA Publishing";"978-1-62722";"USA";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"http://www.americanbar.org/publications_cle/publications.html";"2022-08-04 14:46:30"
"18841";"Abbaye de Maredsous";"Abbaye de Maredsous";"";"Belgia";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"0";"";"";"2022-08-04 14:46:30"
"18962";"Abbeville Press";"Abbeville Press";"978-0-7892, 978-0-89659, 978-1-55859";"USA";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"0";"";"http://www.abbeville.com/index.asp";"2022-08-04 14:46:30"
"18964";"ABC-CLIO";"ABC-CLIO";"978-1-57607";"USA";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"0";"";"http://www.abc-clio.com/";"2022-08-04 14:46:30"
"22636";"ABM-media AS";"ABM-media AS";"";"Norge";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"";"";"";"";"http://www.abm-media.no/OmABM.htm";"2022-08-04 14:37:49"
"20485";"Abramis Academic Publishing";"Abramis Academic Publishing";"978-1-84549";"Storbritannia";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"http://www.abramis.co.uk";"2022-08-04 14:46:30"
"18040";"Abstrakt forlag";"Abstrakt forlag";"978-82-7935";"Norge";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"http://www.abstrakt.no/";"2022-08-04 14:37:49"
"18041";"Academia adacta";"Academia adacta";"978-91-89300";"Sverige";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"http://www.academia-adacta.se/";"2022-08-04 14:46:30"
"18561";"Academia Press";"Academia Press";"978-90382";"Belgia";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"http://www.academiapress.be";"2022-08-04 14:46:30"
"28027";"Academia Publishing House";"Academia Publishing House";"978-80-200";"Tsjekkia";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.academia.cz/";"2022-07-18 10:20:58"
"22918";"Academia Verlag";"Academia Verlag";"";"Tyskland";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"http://www.academia-verlag.de/";"2022-08-04 14:46:30"
"26601";"Academic Conferences and Publishing International Limited";"Academic Conferences and Publishing International Limited";"978-1-910309";"Storbritannia";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"http://www.academic-conferences.org/";"2022-08-04 14:46:30"
"22645";"Academic Conferences International (ACI)";"Academic Conferences International (ACI)";"978-1-909507";"Storbritannia";"";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"https://www.academic-conferences.org/";"2022-08-04 14:46:30"
"19360";"Academic Conferences Limited";"Academic Conferences Limited";"";"Storbritannia";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"0";"";"http://www.academic-conferences.org/";"2022-08-04 14:46:30"
"18710";"Academic Electronic Press";"Academic Electronic Press";"";"Slovenia";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"0";"";"http://www.aepress.sk/";"2022-08-04 14:46:30"
"26531";"Academic foundation";"Academic foundation";"978-93-3327";"India";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"http://www.academicfoundation.com";"2022-08-04 14:46:30"
"18042";"Academic Press";"Academic Press";"978-0-12";"USA";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"http://www.academicpress.com/";"2022-08-04 15:22:41"
"20766";"Academic Publications";"Academic Publications";"";"Bulgaria";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"http://acadpubl.eu/ap/";"2022-08-04 14:46:30"
"23167";"Academic Publishing International";"Academic Publishing International";"978-1-906638";"Storbritannia";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"";"";"";"";"";"";"http://academic-publishing.org/";"2022-08-04 14:46:30"
"26562";"Academic Studies Press";"Academic Studies Press";"978-161811";"USA";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"http://www.academicstudiespress.com/";"2022-08-04 14:37:49"
"18988";"Academica";"Academica";"978-87-7675";"Danmark";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"http://www.systimeacademic.dk/";"2022-08-04 14:46:30"
"26758";"Academy of Marketing";"Academy of Marketing";"978-0-99564";"Storbritannia";"";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.academyofmarketing.org/about/";"2022-08-04 14:46:30"
"26455";"Accademia della Crusca";"Accademia della Crusca";"978-88-89369";"Italia";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"";"";"";"";"";"";"";"";"";"http://www.accademiadellacrusca.it";"2022-08-04 14:46:30"
"18890";"Accademia nazionale di scienze lettere ed arti di Modena";"Accademia nazionale di scienze lettere ed arti di Modena";"";"Italia";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"0";"";"";"2022-08-04 14:46:30"
"14108";"Acco";"Acco";"978-90-334";"Belgia";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"http://www.acco.be/acco/en/welcome";"2022-08-04 14:46:30"
"26793";"Achieving sustainable production of poultry meat Volume 3";"Achieving sustainable production of poultry meat Volume 3";"978-1786760";"Storbritannia";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"https://shop.bdspublishing.com/checkout/Store/bds/Detail/WorkGroup/3-190-52853";"2022-08-04 14:46:30"
"22630";"ACI Academic Conferences International";"ACI Academic Conferences International";"";"Storbritannia";"";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"http://www.academic-conferences.org/icickm/icickm2008/icickm08-proceedings.htm";"2022-08-04 14:46:30"
"25735";"ACM Digital Library";"ACM Digital Library";"978-1-450";"USA";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"http://dl.acm.org/";"2022-08-04 14:46:30"
